# This line should be ignored by the parser
N6
# The next 6 lines define categories
C1 Terms and Terminology
C2 The usual suspects
C3 Be creative
C4 Doctor of what?
C5 4 years? Uh, no.
C6 Course change
# These lines have the format: category number | dollar amount | answer | question | additional information (optional)
#
# First category: some terms they might not be familar with
1|100|This is the type of degree you earn from completing a typical four year major at a college or university.  It also refers to a single man.|What is a bachelor's degree?
1|200|This is a degree which can be earned in two years from a college.|What is an associate's degree?
1|300|This term for a college or university program may sound like it is "beneath" you, but it really isn't.|What is undergraduate?
3|300|This job is to communicate developments or ideas in science to the public through various news outline, especially websites nowadays.|What is science journalism?|Science journalism requires someone who can explain emerging scientific concepts simply and straightforwardly - so if you have a gift with words and like science, you should keep this in mind.  Salaries vary wildly, but entry level positions are ~$40K.
3|400|You might consider this career if you like science and have a gift for art.|What is science illustration?|Images and diagrams are an important part of scientific communication, in popular publications, textbooks, and professional papers. Some combination of a major and minor in a science and art field, plus a willingness to market yourself agressive will be useful.  
3|500|This job sounds more violent than it is - all it involves is finding qualified candidates for job openings.|What is a headhunter?|This job would be great for someone who enjoys meeting new people and talking to them about science - you'll need to build a large network of clients and candidates, and know enough about the scientific field to assess candidates' qualifications. You'd be paid based on how successful you are at hiring people for your clients; a reasonably successful headhunter can make ~$75K/yr.
#
#
# Fourth category: Science jobs requiring advanced degrees that line up well with undergrad degrees.
4|100|This is the "typical" job for someone with a Ph.D. in science, combining teaching and research.  People in these positions make up "academia."|What is a university professor?|Professors have a wide range of duties, including original research and teaching both undergraduate and graduate students. Some professors choose to focus exclusively on teaching. Salaries vary, but a senior chemistry professor makes ~$90K a year.
4|200|And the rockets' red glare: these scientists help light up the night every July 4th.|Who are fireworks designers?|You'll need a Ph.D. in chemistry, not to mention a strong constitution to work with things that are meant to explode. Salary: ~$90K/yr.
4|300|These scientists are hired by companies to give advice on their area of specialization.|Who are consultants?|Consultants are hired temporarily by companies to help the company improve in a particular area.  Although often mocked in Dilbert cartoons, consulting can be very profitable with salaries ranging from $50K-$150K. A Ph.D. is usually expected for science consulting.
4|400|This category of work for Ph.D.'s is usually considered the other option to academia, although it is not what "I" want to do.|What is industry?|Industry scientists can be generally put in two categories: research & development (who work in central labs on new products or processes) and factory support (who help maintain processes at factories). Salaries are usually $80K+/yr.
4|500|These scientists have a "zoo" of a time studying animals in the wild.|What are zoologists?|Zoologists get to spend a lot of time outside studying animals - it can be surprisingly physically demanding, but you're not stuck at a desk all day.  A Ph.D. is not necessarily required, although if you don't have one, you'll be under the direction of someone who does. You will need 4 years of college at least. But you can get paid around $60K a year to study animals and be outside, so if you're outdoorsy and love animals, it's well worth it.
#
#
# Fifth category: jobs for people who don't want or can't afford a 4 year degree.
5|100|You can't write an Rx, but you can still help people in this job, abbreviated RN|What is a registered nurse?|You can become an RN with an associate's (2 year) or bachelor's (4 year) degree in nursing. You'll need to know some biology and anatomy, and not be squeamish around blood. ~$66K/yr.
5|200|This person keeps a lab running smoothly and assists other scientists.|Who is a lab technician?|You can be a lab tech with just an associate's degree - especially if you also have some skill in mechanical work, since instruments break and need to be put back together well. $38K+/yr.
5|300|If four-footed people are more your thing, you might considering being this sort of technician.|What is a veterinary technician?|To be a veterinary technician, you need a veterinary technology degree, which you can get in two years.  Having some biology under your belt before that is helpful, plus some chemistry since you will often explain the use of drugs to pet owners. ~$30K/yr average nationwide.
5|400|Science + nature? If you like working outdoors, being this sort of technician might be right up your alley.|What is an environmental technician?|A two-year degree in something like applied science is sufficient for this job. Your work would be a lot like a GLOBE experiment, but with cooler toys - go outside, take samples, study and catalogue them. ~$32K/yr.
5|500|Someone in this job helps to run "technical" tests on the human heart, such as EKGs.|What is a cardiovascular technician?|You can get into this field with just an associate's degree, although you do need at least 2 years after high school. Like nursing, it gives you a chance to help and work with people, which can be both stressful and rewarding. $40K+/yr.
#
#
# Sixth category: Things you can go on to do with a science degree.. and some extra learning
6|100|This is the most common advanced degree you think of for chemists or biologists, and was the (fictional) career of choice for Doogie Howser, House, and Leonard "Bones" McCoy.|What is a medical doctor?|Probably the most well-known advanced degree, an "M.D." can do anything from family or general practice through cardiology, neurology, and dozens of other specializations.  Becoming an M.D. requires a lot of work: 4 years of college, 4 years of med school, and 3+ years of residency (where you really specialize). Salaries? Anywhere from $200K up.
6|200|A scientist interested in law can go into this kind, specializing in protecting people's ideas.|What is patent or intellectual property law?|Patent attornies often work with companies to help them correctly file patents to protect their inventions - or go after people infringing on those patents! These lawyers need 4 years of school in a science or technical degree to understand the ideas they're defending, plus 3 years of law school.  Patent lawyers are essential to scientific progress because they make sure the inventor is rewarded for his or her work. Salary? $180K-250K.
6|300|Knowledge of chemistry and biology is beneficial to these white-coated people, who can be found at a CVS or Walgreen's.|What is a pharmacist?|Pharmacists do more than count out pills into bottles - they can in some cases advise customers on what medicine they can safely take, and also double check that your doctor didn't accidentally prescribe two drugs that shouldn't be taken together.  Becoming a pharmacist requires some college + 3-4 years of pharmacy school, but doesn't actually require a complete bachelor's degree. Salary is usually around $120K.
6|400|Perhaps made popular by the character of Marshall Erickson on "How I Met Your Mother," this type of lawyer works to ensure that companies follow the regulations in place to protect our land, air, and water quality.|What is an environmental lawyer?|The popular idea of an environmental lawyer is one who prosecutes polluting companies, but they also work with companies to help them stay compliant with regulations. This is a career where 4 years of college in a science degree would be followed by 3 years of law school. Average salary is ~$110K but this can vary a lot.
6|500|Combining business acumen and scientific knowledge, these people manage scientists in major pharmaceutical companies.|Who are pharmaceutical business executives?|Pharmaceutical companies (and biotech companies, other chemical manufacturers, etc.) need someone to manage scientists.  These managers usually have a Ph.D. of their own, plus an MBA (Master of Business Administration). They typically earn >$100K.
